Mã,Năm,current_ratio,cash_ratio,nwc_to_ta,debt_to_ta,debt_to_equity,short_term_debt_share,asset_turnover,receivables_to_revenue,inventory_to_revenue,cluster,cluster_agg,npm,risk_level,risk_prev,npm_prev,alert_level,delta_npm
ASG,2022,-0.013397599482332148,-0.021120411808784077,0.5017327499379036,-0.24383389541654565,-0.4067126285255213,-1.1794760826960484,-0.2887717633463443,-0.08910527992490416,-0.0880284435922545,1,4,0.07690213774581203,Low,Low,0.048247872364572474,Green,0.02865426538123956
ASG,2023,-0.10214544205634346,-0.19055342532241823,0.3957146596755976,-0.25410514744996227,-0.22359674997057016,-0.9039435892014275,-0.22527103221338848,-0.09108503595894926,-0.10618671292955106,1,4,0.014076570291041165,Low,Low,0.07690213774581203,Red,-0.06282556745477087
ASG,2024,-0.22208914082614342,-0.16870538848848785,-0.07644494356731922,-0.31279943606930605,-0.3916996785738909,0.04259422202093812,-0.28853301910222656,-0.06857746183236327,-0.08750099985418558,0,1,0.027917355306445436,Medium,Low,0.014076570291041165,Yellow,0.013840785015404271
ASM,2020,-0.35834762888788024,-0.33617530085783276,-0.534476313254297,0.6373801581184474,0.08066761705142392,-0.6515449961128316,-0.21402433049890562,-0.006814017061835576,-0.09290749463392,6,4,0.045698596084946884,Medium,,,Green,
ASM,2021,-0.2789251023315821,-0.35082131255500826,-0.41263586864766866,0.5651863070000995,-0.03107631077180981,-0.6002929910012118,-0.2830287773428757,-0.06857746183236327,-0.08538748898268758,6,4,0.06175576363774164,Medium,Medium,0.045698596084946884,Green,0.01605716755279476
ASM,2022,-0.36779745219803245,-0.3411361393065132,-0.7362956357735315,0.6324465496858136,0.15311460537302946,-0.4458593385941579,-0.22776934219770695,-0.08933092287970111,-0.07409316756626275,6,4,0.07001012473927518,Medium,Medium,0.06175576363774164,Green,0.008254361101533533
ASM,2023,-0.29386890363479806,-0.2985002583876167,-0.4718347934535211,0.7500414087589514,0.0725851666708161,-0.5026625782474513,-0.26597020294398727,-0.08766587162590629,-0.0856310989402353,6,4,0.021021977703051434,Medium,Medium,0.07001012473927518,Yellow,-0.04898814703622374
ASM,2024,-0.23003655186886895,-0.18429436659414472,-0.017429711033641573,0.8783992369488733,0.40085003542730235,-1.0066443590526488,-0.3496905137711407,-0.06857746183236327,-0.07377452230430846,1,4,0.021082394881500658,Low,Medium,0.021021977703051434,Green,6.041717844922426e-05
ASP,2020,-0.5892797173426121,-0.4344913107709405,-2.210695387974586,1.1484387295314789,0.5539416566928972,0.2233905571825084,0.6536982564137427,-0.020534668782439206,-0.12521254824783604,6,1,0.011750024531145093,Medium,,,Green,
ASP,2021,-0.4138885777245087,-0.2645308269200069,-1.8031185344778444,1.4162385063023475,0.24049593321051557,0.3072762254851746,0.8767181917335557,-0.06857746183236327,-0.08538748898268758,6,1,0.0074738985263199725,Medium,Medium,0.011750024531145093,Green,-0.00427612600482512
